"Theta [deg]","dB(rETotal) [] - Freq='25GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='25.5GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='25.9GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='25.95GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='26GHz' Phi='90.0000000000002deg'"
306,20.6236651197296,20.7135717572177,20.8140425176191,20.8278512572249,20.8424217134391
307,20.7214011823392,20.8630352429864,21.0240481796587,21.0451891198915,21.066773116205
308,20.8670065370081,20.9859694495289,21.1522068860373,21.1763332365883,21.2013826857471
309,21.0750390706751,21.1897136192839,21.324718945373,21.3442771948614,21.3647363634363
310,21.2484128055595,21.4140582928006,21.5676154751662,21.5873741376242,21.6074717041426
311,21.3718469394911,21.5668785688286,21.7575668948014,21.7823232538755,21.8073478599288
312,21.5120965203462,21.6936594888064,21.8797356857142,21.9049478692473,21.9306604699479
313,21.6813929438866,21.8595182635952,22.0260700681311,22.0481379125837,22.070576704924
314,21.844132731251,22.0374056730032,22.2073851758338,22.2289996943633,22.2507213847482
315,22.0015507736106,22.1959916358096,22.3710516936468,22.3935156758321,22.4160792982044
316,22.1741256645969,22.3578869291369,22.5212241876265,22.5423296415827,22.5635649760463
317,22.3516504975311,22.5357397016142,22.6888265057232,22.7080362735168,22.727231382565
